player_name,odds_1plus
Aaron Judge,+258
Giancarlo Stanton,+402
Jazz Chisholm Jr.,+670
Rafael Devers,+529
Trent Grisham,+720
Ben Rice,+451
Heliot Ramos,+750
Austin Wells,+750
Ryan McMahon,+820
Willy Adames,+640
Luis Matos,
Casey Schmitt,
Cody Bellinger,+660
Harrison Bader,+830
Matt Chapman,+600
Anthony Volpe,
Drew Gilbert,
Amed Rosario,
Jerar Encarnacion,+810
Will Brennan,
J.C. Escarra,
Patrick Bailey,+1040
Christian Koss,
Paul Goldschmidt,
Jung Hoo Lee,+1300
Daniel Susac,
Luis Arraez,+1660
José Caballero,+1180
